MonitoringLocationIdentifier,Site_no,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasureMeasureValue,DrainageAreaMeasureMeasureUnitCode,ContributingDrainageAreaMeasureMeasureValue,ContributingDrainageAreaMeasureMeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasureMeasureValue,HorizontalAccuracyMeasureMeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasureMeasureValue,VerticalMeasureMeasureUnitCode,VerticalAccuracyMeasureMeasureValue,VerticalAccuracyMeasureMeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasureMeasureValue,WellDepthMeasureMeasureUnitCode,WellHoleDepthMeasureMeasureValue,WellHoleDepthMeasureMeasureUnitCode,Site_name,Agency,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,LatChar,LonChar
USGS-14316800,14316800,USGS-OR,USGS Oregon Water Science Center,"NORTH UMPQUA R BL STEAMBOAT CR NR GLIDE,OREG.",Stream,,17100301,865,sq mi,NA,,43.3215082,-122.8094992,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3215082,-122.8094992
USGS-14317450,14317450,USGS-OR,USGS Oregon Water Science Center,"NORTH UMPQUA RIVER NEAR IDLEYLD PARK, OR",Stream,,17100301,886,sq mi,NA,,43.324563,-122.9997836,NA,Unknown,Unknown,Interpolated from map,NAD83,780,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.324563,-122.9997836
USGS-14317500,14317500,USGS-OR,USGS Oregon Water Science Center,N UMPQUA RIVER AB ROCK CR NR GLIDE OREG,Stream,,17100301,886,sq mi,NA,,43.3306742,-123.0031172,NA,Unknown,Unknown,Interpolated from map,NAD83,770,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3306742,-123.0031172
USGS-14350870,14350870,USGS-OR,USGS Oregon Water Science Center,"NEIL CREEK AT MT ASHLAND, NEAR ASHLAND, OR",Stream,City of Ashland-periodic sampling and Q meas,17100308,0.136,sq mi,NA,,42.0815229,-122.6947532,NA,1,seconds,Interpolated from map,NAD83,5820,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0815229,-122.6947532
USGS-14353420,14353420,USGS-OR,USGS Oregon Water Science Center,"MIDDLE FORK OF E.F. ASHLAND CREEK, NR ASHLAND, OR",Stream,City of Ashland-periodic sampling & Q meas,17100308,0.404,sq mi,NA,,42.0959666,-122.7191986,NA,1,seconds,Interpolated from map,NAD83,5880,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0959666,-122.7191986
USGS-14353425,14353425,USGS-OR,USGS Oregon Water Science Center,"WEST FORK OF E.F. ASHLAND CREEK, NEAR ASHLAND, OR",Stream,City of Ashland-periodic sampling & Q meas,17100308,0.367,sq mi,NA,,42.0970775,-122.7294767,NA,1,seconds,Interpolated from map,NAD83,5940,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0970775,-122.7294767
USGS-14353429,14353429,USGS-OR,USGS Oregon Water Science Center,"EAST FORK OF EF ASHLAND CREEK, AT MT. ASHLAND, OR",Stream,New Central Point Office site,17100308,NA,,NA,,42.0831893,-122.7069759,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,6450,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0831893,-122.7069759
USGS-14353430,14353430,USGS-OR,USGS Oregon Water Science Center,"EAST FORK OF E.F. ASHLAND CREEK, NEAR ASHLAND, OR",Stream,City of Ashalnd-periodic sampling & Q meas,17100308,0.117,sq mi,NA,,42.084856,-122.7058647,NA,1,seconds,Interpolated from map,NAD83,6120,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.084856,-122.7058647
USGS-14353435,14353435,USGS-OR,USGS Oregon Water Science Center,"PUMPHOUSE CREEK AT MT ASHLAND, NEAR ASHLAND, OR",Stream,City of Ashland-periodic sampling & Q meas,17100308,7.20E-02,sq mi,NA,,42.0904113,-122.7097538,NA,1,seconds,Interpolated from map,NAD83,6000,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0904113,-122.7097538
USGS-14353450,14353450,USGS-OR,USGS Oregon Water Science Center,"E.F. ASHLAND CK, ABV BULL GAP CK, NR ASHLAND, OR",Stream,City of Ashland-periodic sampling & Q meas,17100308,3.2,sq mi,NA,,42.109022,-122.7111428,NA,1,seconds,Interpolated from map,NAD83,4600,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.109022,-122.7111428
USGS-420451121510000,4.20451E+14,USGS-OR,USGS Oregon Water Science Center,"KLAMATH STRAITS DRAIN NEAR HIGHWAY 97, OR",Stream,Stewart Rounds & Annett Sullivan Klamath R proj,18010204,NA,,NA,,42.0808333,-121.85,24000,1,seconds,Differentially corrected Global Positioning System (DGPS),NAD83,4088,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.0808333,-121.85
USGS-420615121533600,4.20615E+14,USGS-OR,USGS Oregon Water Science Center,"KLAMATH RIVER AT SITE 12A, NR ROCK QUARRY, OR",Stream,Stewart Rounds & Annett Sulivan Klamath River proj,18010204,NA,,NA,,42.1041667,-121.8933333,24000,1,seconds,Differentially corrected Global Positioning System (DGPS),NAD83,4087,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1041667,-121.8933333
USGS-420853121505500,4.20853E+14,USGS-OR,USGS Oregon Water Science Center,"KLAMATH RIVER AT MILLER ISLAND BOAT RAMP, OR",Stream,Stewart Rounds & Annett Sullivan Klamath R proj,18010204,NA,,NA,,42.1480556,-121.848611,24000,1,seconds,Differentially corrected Global Positioning System (DGPS),NAD83,4087,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1480556,-121.848611
USGS-420941121453200,4.20941E+14,USGS-OR,USGS Oregon Water Science Center,OSU AG RESEARCH STATION,Stream: Canal,TARA CHESTNUT,18010203,NA,,NA,NA,42.1614722,-121.75875,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1614722,-121.75875
USGS-421015121471800,4.21015E+14,USGS-OR,USGS Oregon Water Science Center,"LOST RIVER DIVERSION CHANNEL NR KLAMATH RIVER, OR",Stream,Stewart Round & Annett Sullivan Klamath model proj,18010204,NA,,NA,,42.1708333,-121.7883333,24000,1,seconds,Interpolated from Digital Map,NAD83,4088,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1708333,-121.7883333
USGS-421205121462300,4.21205E+14,USGS-OR,USGS Oregon Water Science Center,LAKE EUWANA TRESTLE (LET),"Lake, Reservoir, Impoundment",Lake Euwana Buoyuancy asay sites  T.Wood  8/06,18010204,NA,,NA,,42.2012009,-121.7740861,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2012009,-121.7740861
USGS-421209121463000,4.21209E+14,USGS-OR,USGS Oregon Water Science Center,"KLAMATH RIVER AT RAILROAD BRIDGE, OR",Stream,Stewart Rounds & Annett Sullivan Klamath R proj,18010204,NA,,NA,,42.2025,-121.775,24000,1,seconds,Differentially corrected Global Positioning System (DGPS),NAD83,4087,feet,1.6,feet,Interpolated from digital elevation model (DEM),NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2025,-121.775
USGS-421311121472100,4.21311E+14,USGS-OR,USGS Oregon Water Science Center,LINK RIVER  (LRV),"Lake, Reservoir, Impoundment",Lake Euwana Buoyancy assay sites  T.Wood  8/06,18010204,NA,,NA,,42.2030062,-121.7903285,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2030062,-121.7903285
USGS-421420121481700,4.2142E+14,USGS-OR,USGS Oregon Water Science Center,FREMONT BRIDGE  (FBR),"Lake, Reservoir, Impoundment",Lake Euwana buoyancy assay sites  T.Wood  8/06,18010204,NA,,NA,,42.2387553,-121.805866,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2387553,-121.805866
USGS-421740121551200,4.2174E+14,USGS-OR,USGS Oregon Water Science Center,FLOODED CALEDONIA MARSH (FCM-3),"Lake, Reservoir, Impoundment",QW portion of Sucker telemetry stydy  T.Wood  6/06,NA,NA,,NA,,42.2943081,-121.9211217,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2943081,-121.9211217
USGS-421807121543800,4.21807E+14,USGS-OR,USGS Oregon Water Science Center,FLOODED CALDONIA MARSH (FCM-1),"Lake, Reservoir, Impoundment",QW portion of Sucker Telemetry study  T.Wood,NA,NA,,NA,,42.301808,-121.911677,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.301808,-121.911677
USGS-421819121532800,4.21819E+14,USGS-OR,USGS Oregon Water Science Center,FLOODED CALEDONIA MARSH (FCM-2),"Lake, Reservoir, Impoundment",QW portion of Sucker telemetry study  T.Wood 6/06,NA,NA,,NA,,42.3051415,-121.8922319,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3051415,-121.8922319
USGS-421838121513900,4.21838E+14,USGS-OR,USGS Oregon Water Science Center,NORTH BUCK ISLAND  - NBI,"Lake, Reservoir, Impoundment",REQUESTED BY TAMMY WOOD,18010203,NA,,NA,,42.3104195,-121.8619531,24000,1,minutes,Interpolated from map,NAD83,4143,feet,10,feet,Interpolated from topographic map,NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3104195,-121.8619531
USGS-421933121550000,4.21933E+14,USGS-OR,USGS Oregon Water Science Center,HOWARD BAY  - HDB,"Lake, Reservoir, Impoundment",REQUESTED BY TAMMY WOOD,18010203,NA,,NA,,42.3256963,-121.9177889,24000,1,minutes,Interpolated from map,NAD83,4143,feet,10,feet,Interpolated from topographic map,NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3256963,-121.9177889
USGS-422042121513100,4.22042E+14,USGS-OR,USGS Oregon Water Science Center,RATTLESNAKE POINT  -  RPT,"Lake, Reservoir, Impoundment",QW portion sucker telemetry study T.Wood 06/2005,18010203,NA,,NA,,42.3447521,-121.8598427,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3447521,-121.8598427
USGS-422207119340400,4.22207E+14,USGS-OR,USGS Oregon Water Science Center,HART36,"Lake, Reservoir, Impoundment",USGS-BRD Armi Sites in Eastern OR Aug. 2003,NA,NA,,NA,,42.3684966,-119.56883,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,5640,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3684966,-119.56883
USGS-422222120575602,4.22222E+14,USGS-OR,USGS Oregon Water Science Center,37.00S/15.00E-08DBC02,Stream,Near east well at Sprague River Park-C.Palmer 2002,18010202,NA,,NA,,42.3729185,-120.9666386,24000,0.5,seconds,"Global positioning system (GPS), uncorrected",NAD83,4370,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3729185,-120.9666386
USGS-422305121553800,4.22305E+14,USGS-OR,USGS Oregon Water Science Center,MID-TRENCH - LOWER   -  MDTL,"Lake, Reservoir, Impoundment",QW portion of sucker telemetry study T.Wood 9/2004,NA,NA,,NA,,42.3846115,-121.9284016,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3846115,-121.9284016
USGS-422305121553803,4.22305E+14,USGS-OR,USGS Oregon Water Science Center,MID-TRENCH - UPPER   - MDTU,"Lake, Reservoir, Impoundment",QW portion of sucker telemetry study T.Wood 9/2004,NA,NA,,NA,,42.3846892,-121.9286044,NA,0.01,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3846892,-121.9286044
USGS-422312121515900,4.22312E+14,USGS-OR,USGS Oregon Water Science Center,MID-LAKE   -  MDL,"Lake, Reservoir, Impoundment",QW portion sucker telemetry study T.Wood 06/2005,18010203,NA,,NA,,42.3865287,-121.8675384,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3865287,-121.8675384
USGS-422437121515200,4.22437E+14,USGS-OR,USGS Oregon Water Science Center,MODOC RIM/MRM,"Lake, Reservoir, Impoundment",QW portion Sucker telemetry study T.Wood 06/06,18010203,NA,,NA,,42.4102226,-121.8656777,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4102226,-121.8656777
USGS-422500121581800,4.225E+14,USGS-OR,USGS Oregon Water Science Center,UKL08-03,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4165825,-121.9728482,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4165825,-121.9728482
USGS-422501121581400,4.22501E+14,USGS-OR,USGS Oregon Water Science Center,UKL08,"Lake, Reservoir, Impoundment",QW PORTION OF SUCKER TELEMETRY STUDY,NA,NA,,NA,,42.4167658,-121.9717287,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4167658,-121.9717287
USGS-422502122011400,4.22502E+14,USGS-OR,USGS Oregon Water Science Center,UKL11-03,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4170819,-122.0217108,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4170819,-122.0217108
USGS-422559121574400,4.22559E+14,USGS-OR,USGS Oregon Water Science Center,EAGLE POINT - LOWER  - EPT,"Lake, Reservoir, Impoundment",QW portion sucker telemetry study T.Wood 06/2005,18010203,NA,,NA,,42.4329711,-121.963376,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4329711,-121.963376
USGS-422559121574403,4.22559E+14,USGS-OR,USGS Oregon Water Science Center,EAGLE POINT - UPPER   - EPT,"Lake, Reservoir, Impoundment",QW portion sucker telemetry study T.Wood 06/2005,18010203,NA,,NA,,42.4329711,-121.963376,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4329711,-121.963376
USGS-422606121592600,4.22606E+14,USGS-OR,USGS Oregon Water Science Center,UKL07,"Lake, Reservoir, Impoundment",QW PORTION OF SUCKER TELEMETRY STUDY,NA,NA,,NA,,42.4348902,-121.9915603,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4348902,-121.9915603
USGS-422621119401600,4.22621E+14,USGS-OR,USGS Oregon Water Science Center,HART64,"Lake, Reservoir, Impoundment",USGS-BRD Armi Easter OR sites Aug.2003 C.Anderson,NA,NA,,NA,,42.4390497,-119.6721689,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,6600,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4390497,-119.6721689
USGS-422622122004000,4.22622E+14,USGS-OR,USGS Oregon Water Science Center,MID-NORTH - LOWER  - MDNL,"Lake, Reservoir, Impoundment",WQ network for sucker telemetry study T.Wood  2004,NA,NA,,NA,,42.4391649,-122.0122388,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4391649,-122.0122388
USGS-422628121594500,4.22628E+14,USGS-OR,USGS Oregon Water Science Center,"MID NORTH KLAMATH LAKE, OR","Lake, Reservoir, Impoundment",REQUESTED BY TAMMY WOOD,18010203,NA,,NA,,42.4411111,-121.9958333,124000,1,minutes,Interpolated from map,NAD83,4143,feet,1,feet,Interpolated from topographic map,NAVD88,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4411111,-121.9958333
USGS-422708119395400,4.22708E+14,USGS-OR,USGS Oregon Water Science Center,HART65,"Lake, Reservoir, Impoundment",USGS-BRD Armi Eastern OR sites Aug.2003 C.Anderson,NA,NA,,NA,,42.452105,-119.6660579,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,6460,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.452105,-119.6660579
USGS-422711122003700,4.22711E+14,USGS-OR,USGS Oregon Water Science Center,UKL06,"Lake, Reservoir, Impoundment",QW PORTION OF SUCKER TELEMETRY STUDY,NA,NA,,NA,,42.4530229,-122.0115334,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4530229,-122.0115334
USGS-422714122034100,4.22714E+14,USGS-OR,USGS Oregon Water Science Center,UKL09-03,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4538306,-122.0624349,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4538306,-122.0624349
USGS-422719121571400,4.22719E+14,USGS-OR,USGS Oregon Water Science Center,WILLIAMSON RIVER OUTLET - WMR,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4552484,-121.9549039,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4552484,-121.9549039
USGS-422727121592400,4.22727E+14,USGS-OR,USGS Oregon Water Science Center,UKL02-03,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4574425,-121.9911273,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4574425,-121.9911273
USGS-422817122014800,4.22817E+14,USGS-OR,USGS Oregon Water Science Center,UKL05,"Lake, Reservoir, Impoundment",QW PORTION OF SUCKER TELEMETRY STUDY,NA,NA,,NA,,42.4713306,-122.0310593,NA,0.1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4713306,-122.0310593
USGS-422840122030200,4.2284E+14,USGS-OR,USGS Oregon Water Science Center,UKL05-03,"Lake, Reservoir, Impoundment",WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS,NA,NA,,NA,,42.4775524,-122.051685,NA,0.1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4775524,-122.051685
USGS-423050121545700,4.2305E+14,USGS-OR,USGS Oregon Water Science Center,WILLIAMSON RIVER ABOVE AGENCY LAKE,Stream,KLAMATH LAKE PROJECT - HEHARRISON,18010203,NA,,NA,,42.5137476,-121.9169594,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5137476,-121.9169594
USGS-423158123465900,4.23158E+14,USGS-OR,USGS Oregon Water Science Center,ROADS END CREEK  (Rdend),Stream,ARMI grazing effects study-C.Anderson Nov. 2002,17100311,NA,,NA,,42.5326113,-123.7842435,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,2430,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5326113,-123.7842435
USGS-423236123432500,4.23236E+14,USGS-OR,USGS Oregon Water Science Center,EAST TRIB OF NORTH FORK SILVER (ENSilv),Stream,ARMI grazing effects study-C.Anderson Nov. 2002,17100311,NA,,NA,,42.5431676,-123.7247969,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,3200,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5431676,-123.7247969
USGS-423247123443100,4.23247E+14,USGS-OR,USGS Oregon Water Science Center,SECTION 10 TRIBUTARY (Sec.10),Stream,ARMI Grazing effects study-C.Anderson Nov.2002,17100311,NA,,NA,,42.546223,-123.743131,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,3750,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.546223,-123.743131
USGS-423324123445000,4.23324E+14,USGS-OR,USGS Oregon Water Science Center,SOURGRASS CREEK AT BLM 34-9-35.1 (Sourgrass),Stream,Armi Grazing effects study-C.Anderson Nov.2002,17100311,NA,,NA,,42.5565007,-123.7484092,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,3600,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5565007,-123.7484092
USGS-423454121562500,4.23454E+14,USGS-OR,USGS Oregon Water Science Center,"WOOD RIVER NEAR MOUTH, BELOW CROOKED CREEK",Stream,KLAMATH PROJECT - HEHARRISON,18010203,NA,,NA,,42.5815245,-121.941406,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5815245,-121.941406
USGS-423455121581201,4.23455E+14,USGS-OR,USGS Oregon Water Science Center,"SEVEN-MILE BRIDGE AT AGENCY LAKE, OR","Lake, Reservoir, Impoundment",KLAMATH WETLANDS PROJECT - jlmorace,18010203,NA,,NA,,42.581802,-121.971129,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.581802,-121.971129
USGS-423500121565600,4.235E+14,USGS-OR,USGS Oregon Water Science Center,"AGENCY LAKE ALONG SHORE NEAR WOOD RIVER WETLAND,OR","Lake, Reservoir, Impoundment",K.D.CARPENTER QW WETLAND STUDY   MAY 2003,18010203,NA,,NA,,42.583205,-121.9500257,NA,0.5,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.583205,-121.9500257
USGS-423539120524502,4.23539E+14,USGS-OR,USGS Oregon Water Science Center,34.005/16.00E-30BCB02,Stream,Near well at Sandhill Crossing Campground   2002,18010202,NA,,NA,,42.5946005,-120.8803541,24000,0.5,seconds,"Global positioning system (GPS), uncorrected",NAD83,6085,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5946005,-120.8803541
USGS-425336119253500,4.25336E+14,USGS-OR,USGS Oregon Water Science Center,GU2  (Balls Lake 2  GUANO Ponds),"Lake, Reservoir, Impoundment",ARMI Water collection sites-C.Anderson Aug.2002,17120008,NA,,NA,,42.8932123,-119.4274429,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,5250,feet,10,feet,Global Positioning System,NGVD29,US,41,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8932123,-119.4274429
USGS-425406119255200,4.25406E+14,USGS-OR,USGS Oregon Water Science Center,GU1   (Balls Lake 1  GUANO Ponds),"Lake, Reservoir, Impoundment",ARMI Water collection sites-C.Anderson Aug.2002,17120008,NA,,NA,,42.9015455,-119.4321654,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,5250,feet,10,feet,Global Positioning System,NGVD29,US,41,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9015455,-119.4321654
