"Sort","Notes","No.","Pollutant","source","alias","CAS.No.","Carcinogen","Human.Health.Criteria...................Water...Organism..ug.L.","Human.Health.Criteria..Organism.Only..ug.L.","Freshwater.Acute.Criteria..CMC..ug.L","Freshwater.Chronic.Criteria..CCC..ug.L","Freshwater.Fish.Acute.1","Freshwater.Fish.Chronic.2","Freshwater.Invertebrates.Acute.3","Freshwater.Invertebrates.Chronic.4","Freshwater.Nonvascular.Plants.Acute.5","Freshwater.Vascular.Plants.Acute.6","Office.of.Water.Aquatic.Life.Criteria.Maximum.Concentration..CMC.","Office.of.Water.Aquatic.Life.Criteria.Continuous.Concentration..CCC.","minimum.criteria.benchmark.value","index","OR.MCLs","X","Marine.Acute.Criteria..CMC..ug.L","Marine.Chronic.Criteria..CCC..ug.L","Acute.One.Day.HHBP..ppb.","Chronic..Lifetime.HHBP..ppb.","Fish.SV.175.g.d..ppb..","Fish.SV.17.5.g.d..ppb.","Fish.SV.32.g.d..ppb."
342,"0",NA,"Flutolanil","OPP, EPA HHBP","","66332-96-5","","","","","","1250","233","> 3,400","530","8010","8010","","","233","6","",NA,"","","2475","350","","",""
343,"",NA,"Flutriafol","EPA HHBP","","76674-21-0","","","","","","","","","","","","","","0","13","",NA,"","","3300","630","","",""
344,"",NA,"Folpet","EPA HHBP","","133-07-3","","","","","","","","","","","","—","—","0","13","",NA,"","","-","18","","",""
345,"0",NA,"Fomesafen sodium","OPP, EPA HHBP","Fomesafen","72178-02-0","","","","","","63000","9400","188000","50000","92","210","","","92","9","",NA,"","","-","490","","",""
346,"",NA,"Forchlorfenuron","EPA HHBP","","68157-60-8","","","","","","","","","","","","","","0","13","",NA,"","","3","-","","",""
347,"0",NA,"Formetanate HCl","OPP, EPA HHBP","Formetanate hydrochloride","23422-53-9","","","","","","1350","480","45","0.5","—","—","—","—","0.5","8","",NA,"","","","","","",""
348,"0",NA,"Fosamine ammonium","OPP","","25954-13-6","","","","","","188500","—","762000","—","> 15,000","> 21,000","","","188500","5","",NA,"","","-","17500","","",""
349,"",NA,"Fosetyl-Al","EPA HHBP","","39148-24-8","","","","","","","","","","","","—","—","0","13","",NA,"","","4","1","","",""
350,"0",NA,"Fosthiazate","OPP, EPA HHBP","","98886-44-3","","","","","","55500","2320","130","61","> 4,500","—","—","—","61","8","",NA,"","","100","70","","",""
351,"",NA,"Furfural","EPA HHBP","","98-01-1","","","","","","","","","","","","","","0","13","",NA,"","","3300","6","","",""
352,"",NA,"Furilazole","EPA HHBP","","121776-33-8","","","","","","","","","","","","—","—","0","13","",NA,"","","25","7","","",""
353,"",NA,"Gamma Cyhalothrin","OPP, EPA HHBP","gamma-Cyhalothrin","76703-62-3","","","","","","0.0145","—","0.00024","—","> 2,850","—","","","0.00024","7","",NA,"","","2079","42","","",""
354,"0",NA,"Glufosinate","OPP, EPA HHBP","Glufosinate-ammonium","77182-82-2","","","","","","> 160,000","—","334000","32000","7800","1470","","","1470","10","",NA,"","","","","","",""
355,"",NA,"Glyphosate","Table 40, 20, OPP","","","","","","","","21500","1800","26600","49900","12100","11900","—","—","1800","6","",NA,"","","","","","",""
356,"0",NA,"Glyphosate isopropylamine salt","OPP","","38641-94-0","","","","","","42450","—","—","—","—","—","—","—","42450","5","700",NA,"","","","","","",""
357,"8",NA,"HA Atrazine degradate","OPP","","2163-68-0","","","","","","> 1,500","—","> 2,050","—","> 10,000","—","—","—","0","13","",NA,"","","16500","700","","",""
358,"",NA,"Halosulfuron methyl","EPA HHBP","","100784-20-1","","","","","","","","","","","","—","—","0","13","",NA,"","","","","0.088888889","0.888888889","0.486111111"
359,"",83,"Heptachlor","Table 40, 20","","76448","y","0.0000079","0.0000079","0.52","0.0038","","","","","","","","","0.0000079","1","0.4",NA,"0.053","0.0036","","","0.043956044","0.43956044","0.240384615"
360,"",84,"Heptachlor Epoxide","Table 40, 20","","1024573","y","0.0000039","0.0000039","0.52","0.0038","","","","","","","","","0.0000039","1","0.2",NA,"0.053","0.0036","","","0.25","2.5","1.3671875"
361,"",85,"Hexachlorobenzene","Table 40, 20","","118741","y","0.000029","0.000029","--","--","","","","","","","","","0.000029","1","1",NA,"--","--","","","5.128205128","51.28205128","28.04487179"
362,"",86,"Hexachlorobutadiene","Table 40, 20","","87683","y","0.36","1.8","--","--","","","","","","","","","0.36","1","",NA,"--","--","","","0.2","2","1.09375"
363,"",87,"Hexachlorocyclo-hexane-Technical","Table 40, 20","","608731","y","0.0014","0.0015","--","--","","","","","","","","","0.0014","1","",NA,"--","--","","","2400","24000","13125"
364,"",88,"Hexachlorocyclopentadiene","Table 40, 20","","77474","n","30","110","--","--","","","","","","","","","30","1","50",NA,"--","--","","","28.57142857","285.7142857","156.25"
365,"",89,"Hexachloroethane","Table 40, 20","","67721","y","0.29","0.33","--","--","","","","","","","","","0.29","1","",NA,"","","825","140","","",""
366,"",NA,"Hexaconazole","EPA HHBP","","79983-71-4","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
367,"0",NA,"Hexaflumuron","OPP","","86479-06-3","","","","","","> 127.8","—","0.0555","—","—","—","","","0.0555","7","",NA,"","","","","","",""
368,"0",NA,"Hexazinone","OPP","","51235-04-2","","","","","","137000","17000","75800","20000","7","37.4","—","—","7","9","",NA,"","","-","175","","",""
369,"0",NA,"Hexythiazox","OPP, EPA HHBP","","78587-05-0","","","","","","265","—","370","6.1","—","—","—","—","6.1","8","",NA,"","","1650","119","","",""
370,"0",NA,"Hydramethylnon","OPP, EPA HHBP","","67485-29-4","","","","","","45","—","570","—","—","—","—","—","45","5","",NA,"","","-","70","","",""
371,"",NA,"Hydroxyatrazine","EPA HHBP","","2163-68-0","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
372,"0",NA,"Hymexazol","OPP","","10004-44-1","","","","","","> 50,000","—","15400","—","40900","8800","","","8800","10","",NA,"","","1650","175","","",""
373,"",NA,"Imazalil","EPA HHBP","","35554-44-0","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
374,"8",NA,"Imazamox","OPP","","114311-32-9","","","","","","> 59,500","—","> 61,000","—","> 40","11","","","11","10","",NA,"","","-","3500","","",""
375,"",NA,"Imazapic","EPA HHBP","","104098-48-8","","","","","","","","","","","","—","—","0","13","",NA,"","","-","17500","","",""
376,"8,10",NA,"Imazapyr","OPP, EPA HHBP","","81334-34-1","","","","","","> 50,000","43100","50000","97100","12000","24","","","24","10","",NA,"","","-","1750","","",""
377,"",NA,"Imazaquin Acid","EPA HHBP","","81335-37-7","","","","","","","","","","","","—","—","0","13","",NA,"","","-","1750","","",""
378,"",NA,"Imazaquin ammonium","EPA HHBP","","81335-47-9","","","","","","","","","","","","","","0","13","",NA,"","","-","1750","","",""
379,"",NA,"Imazaquin Sodium","EPA HHBP","","81335-46-8","","","","","","","","","","","","","","0","13","",NA,"","","-","17500","","",""
380,"",NA,"Imazethapyr","EPA HHBP","","81335-77-5","","","","","","","","","","","","","","0","13","",NA,"","","1400","399","","",""
381,"",NA,"Imidacloprid","EPA HHBP","","138261-41-3","","","","","","> 41,500","1200","35","1.05","> 10,000","—","","","1.05","8","",NA,"","","1400","399","","",""
382,"8",NA,"Imidacloprid","OPP","","105827-78-9","","","","","","> 41,500","1200","35","1.05","> 10,000","—","—","—","1.05","8","",NA,"","","5000","140","","",""
383,"",NA,"Indaziflam","EPA HHBP","","950782-86-2","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","0.054794521","0.547945205","0.299657534"
384,"",90,"Indeno[1,2,3-cd]pyrene","Table 40, 20","Indeno(1,2,3-cd)pyrene","193395","y","0.0013","0.0018","--","--","","","","","","","","","0.0013","1","",NA,"","","900","140","","",""
385,"",NA,"Indoxacarb","EPA HHBP","","173584-44-6","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
386,"0",NA,"Iodomethane","OPP","","74-88-4","","","","","","665","—","285","—","—","—","","","285","7","",NA,"","","31500","511","","",""
387,"",NA,"Iodosulfuran Methyl-Sodium","EPA HHBP","","144550-36-7","","","","","","","","","","","","—","—","0","13","",NA,"","","3300","105","","",""
388,"0",NA,"Ipconazole","OPP, EPA HHBP","Ipoconazole","125225-28-7","","","","","","765","0.18","850","—","—","—","","","0.18","6","",NA,"","","6600","420","","",""
389,"8,10",NA,"Iprodione","OPP, EPA HHBP","","36734-19-7","","","","","","1550","260","120","170","50","> 124,640","—","—","50","9","",NA,"","","-","183","","",""
390,"",NA,"Iprovalicarb","EPA HHBP","","140923-17-7","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","","",""
391,"",91,"Iron, Total recoverable","Table 40","Total RecoverableIron","7439896","","","","","1000","","","","","","","","","1000","4","",NA,"--","--","","","421.0526316","4210.526316","2302.631579"
392,"",92,"Isophorone","Table 40, 20","","78591","y","27","96","--","--","","","","","","","","","27","1","",NA,"","","","","","",""
393,"0",NA,"Isoxaben","OPP","","82558-50-7","","","","","","> 550","400","> 650","690","> 1,400","—","","","400","6","",NA,"","","4950","231","","",""
394,"",NA,"Isoxadifen-ethyl","EPA HHBP","","163520-33-0","","","","","","","","","","","","—","—","0","13","",NA,"","","548","140","","",""
395,"8",NA,"Isoxaflutole","OPP, EPA HHBP","","141112-29-0","","","","","","> 850","—","> 750","—","110","4.9","","","4.9","10","",NA,"","","","","","",""
396,"8",NA,"Isoxaflutole - rpa202248","OPP","","- -","","","","","","> 15,300","—","> 29,800","—","5000","75","—","—","75","10","",NA,"","","-","700","","",""
397,"",NA,"Kasugamycin","EPA HHBP","","6980-18-3","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
398,"0",NA,"keto hydroxy Spirotetramat degradate","OPP","","- -","","","","","","—","—","> 50,000","—","—","—","","","0","13","",NA,"","","-","2520","","",""
399,"0",NA,"Kresoxim methyl","OPP, EPA HHBP","Kresoxim-methyl","143390-89-0","","","","","","95","87","166","55","29.2","> 305","—","—","29.2","9","",NA,"","","561","56","","",""
400,"0",NA,"Lactofen","OPP, EPA HHBP","","77501-63-4","","","","","","230","1.4","2425","—","0.99","0.6","—","—","0.6","10","",NA,"","","50","7","","",""
401,"0",NA,"Lambda-cyhalothrin","OPP, EPA HHBP","Lambda cyhalothrin","91465-08-6","","","","","","0.105","0.031","0.0035","0.002","> 310","—","—","—","0.002","8","",NA,"","","","","","",""
402,"",93,"Lead, Dissolved","Table 30","","7439921","","","","hardness","hardness","","","","","","","—","—","3.2","4","15",NA,"210","8.1","","","","",""
403,"0",NA,"Limonene","OPP","","5989-27-5","","","","","","40000","—","19500","—","—","—","","","19500","7","",NA,"","--","","","120","1200","656.25"
404,"",22,"Lindane","Table 40, 20, OPP","BHC Gamma (Lindane), Lindane (gamma HCH)","58899","n","0.17","0.18","0.95","0.08","0.85","2.9","0.5","54","—","—","—","—","0.08","4","0.2",NA,"0.16","","3960","54","","",""
405,"8",NA,"Linuron","OPP, EPA HHBP","","330-55-2","","","","","","1500","5.58","60","0.09","13.7","2.5","0.95","—","0.09","8","",NA,"","","-","63","","",""
406,"",NA,"Magnesium chlorate","EPA HHBP","","10326-21-3","","","","","","","","","","","","—","—","0","13","",NA,"--","","","","","",""
407,"",94,"Malathion","Table 40, 20, OPP","","121755","","--","--","--","0.1","16.4","8.6","0.3","0.035","2400","—","","","0.035","8","",NA,"","0.1","4290","35","","",""
408,"0",NA,"Mancozeb","OPP, EPA HHBP","","2234562","","","","","","230","—","290","—","47","—","—","0.1","47","9","",NA,"","","-","350","","",""
409,"0",NA,"Mandipropamid","OPP, EPA HHBP","","374726-62-2","","","","","","—","220","3550","—","> 2,500","> 7,900","—","—","220","6","",NA,"","","660","35","","",""
410,"0",NA,"Maneb","OPP, EPA HHBP","","12427-38-2","","","","","","21","—","60","—","13.4","—","—","—","13.4","9","",NA,"--","--","","","","",""
411,"",95,"Manganese, Total recoverable","Table 40, 20","Total RecoverableManganese","7439965","n ","--","","--","--","","","","","","","—","—","100","2","",NA,"","","","","","",""
412,"0",NA,"MB45950 Fipronil degradate","OPP","","- -","","","","","","41.4","6.6","1.07","0.11","140","> 100","","","0.11","8","",NA,"","","","","","",""
413,"0",NA,"MB46136 Fipronil degradate","OPP","","- -","","","","","","12.5","0.67","0.36","0.037","140","> 100","—","—","0.037","8","",NA,"","","","","","",""
414,"0",NA,"MB46513 Fipronil degradate","OPP","","- -","","","","","","10","0.59","100","10.3","140","> 100","—","—","0.59","6","",NA,"","","","","","",""
415,"11",NA,"MCPA acid","OPP","","94-74-6","","","","","","—","—","—","—","300","170","—","—","170","10","",NA,"","","","","","",""
416,"11",NA,"MCPA DMAS","OPP","","- -","","","","","","48000","12000","41000","11000","160","130","—","—","130","10","",NA,"","","","","","",""
417,"11",NA,"MCPA EHE","OPP","","- -","","","","","","380","—","90","—","170","20","—","—","20","10","",NA,"","","","","","",""
418,"8,11",NA,"MCPA sodium salt","OPP","","- -","","","","","","> 34,000","—","> 92,000","—","—","—","—","—","0","13","",NA,"","","","","","",""
419,"0",NA,"MCPB","OPP","","6062-26-6","","","","","","1950","—","25000","—","380","210","—","—","210","10","",NA,"","","2000","31","","",""
420,"",NA,"MCPB Acid","EPA HHBP","","94-81-5","","","","","","","","","","","","—","—","0","13","",NA,"","","2000","105","","",""
421,"",NA,"MCPB Sodium Salt","EPA HHBP","","6062-26-6","","","","","","","","","","","","","","0","13","",NA,"","","17500","280","","",""
422,"",NA,"MCPP-p","EPA HHBP","","7085-19-0","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
423,"10",NA,"MCPP-p acid","OPP","","16484-77-8","","","","","","—","—","> 45,500","50800","—","—","","","50800","8","",NA,"","","","","","",""
424,"8",NA,"MCPP-p DMAS","OPP","","66423-9-4","","","","","","> 46,500","—","—","—","14","1300","—","—","14","9","",NA,"","","-","519","","",""
425,"8",NA,"Mefenoxam","OPP, EPA HHBP","","70630-17-0","","","","","","> 60,500","—","20950","100","—","77000","—","—","100","8","",NA,"","","-","3570","","",""
426,"",NA,"Mefenpyr-diethyl","EPA HHBP","","135591-00-3","","","","","","","","","","","","—","—","0","13","",NA,"","","5800","105","","",""
427,"",NA,"Mefluidide","EPA HHBP","","53780-34-0","","","","","","","","","","","","","","0","13","",NA,"","","1950","1365","","",""
428,"",NA,"Mepiquat Chloride","EPA HHBP","","24307-26-4","","","","","","","","","","","","","","0","13","",NA,"","","-","35","","",""
429,"",NA,"Meptyldinocap","EPA HHBP","","131-72-6","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
430,"",96,"Mercury","Table 40, 20","","7439976","","--","--","2.4","0.012","","","","","","","","","0.012","4","2",NA,"2.1","0.025","-","10850","","",""
431,"",NA,"Mesosulfuron methyl","EPA HHBP","","208465-21-8","","","","","","","","","","","","","","0","13","",NA,"","","-","49","","",""
432,"0",NA,"Mesotrione","OPP, EPA HHBP","","104206-82-8","","","","","","> 60,000","11000","420000","180000","1900","9.8","","","9.8","10","",NA,"","","","","","",""
433,"8",NA,"Metalaxyl","OPP","","57837-19-1","","","","","","65000","9100","14000","100","140000","92000","—","—","100","8","",NA,"","","750","70","","",""
434,"",NA,"Metaldehyde","EPA HHBP","","9002-91-9","","","","","","34500","—","> 38,330","—","—","—","—","—","34500","5","",NA,"","","750","70","","",""
435,"0",NA,"Metaldehyde","OPP","","108-62-3","","","","","","34500","—","> 38,330","—","—","—","—","—","34500","5","",NA,"","","","","","",""
436,"0",NA,"Metam sodium","OPP","","137-42-8","","","","","","25.6","—","27.5","—","254","590","—","—","25.6","5","",NA,"","","3960","280","","",""
437,"",NA,"Metconazole","EPA HHBP","","125116-23-6","","","","","","","","","","","","—","—","0","13","",NA,"","","30","2","","",""
438,"8,9",NA,"Methamidophos","OPP, EPA HHBP","","10265-92-6","","","","","","12500","48.9","13","4.5","> 50,000","—","","","4.5","8","",NA,"","","","","","",""
439,"0",NA,"Methanearsonic acid, disodium salt DSMA","OPP","","144-21-8","","","","","","> 56,000","—","76500","—","1500","72700","—","—","1500","9","",NA,"","","","","","",""
440,"0",NA,"Methanearsonic acid, sodium salt MSMA","OPP","","2163-80-6","","","","","","6650","—","38750","—","2800","53000","—","—","2800","9","",NA,"","","20","11","","",""
441,"10",NA,"Methidathion","OPP, EPA HHBP","","950-37-8","","","","","","1.1","6.3","1.5","0.66","—","—","—","—","0.66","8","",NA,"","","","","","",""
442,"0",NA,"Methiocarb","OPP","","2032-65-7","","","","","","218","50","3.5","0.1","—","—","—","—","0.1","8","",NA,"","","","","","",""
443,"9",NA,"Methomyl","OPP","","16752-77-5","","","","","","160","12","2.5","0.7","—","—","—","—","0.7","8","",NA,"","","","","","",""
444,"0",NA,"Methoprene","OPP","","40596-69-8","","","","","","380","48","165","51","—","—","—","—","48","6","",NA,"--","","","","","",""
445,"",97,"Methoxychlor","Table 40, 20","Methoxychlor ","72435","n","100","--","--","0.03","7.5","—","0.7","—","—","—","—","—","0.03","4","40",NA,"","0.03","-","714","","",""
446,"",NA,"Methoxyfenozide","EPA HHBP","","161050-58-4","","","","","","","","","","","","—","—","0","13","",NA,"--","--","4620","140","560","5600","3062.5"
447,"",98,"Methyl Bromide","Table 40, 20, OPP, EPA HHPB","","74839","n","37","150","--","--","1950","100","1300","—","2200","—","","","37","1","",NA,"","","","","","",""
448,"0",NA,"Methyl isothiocyanate","OPP","","556-61-6","","","","","","26.55","—","38","—","254","590","—","—","26.55","5","",NA,"","","","","","",""
449,"0",NA,"Methyl paraoxon","OPP","","950-35-6","","","","","","—","—","1.15","1","—","—","—","—","1","8","",NA,"","","","","","",""
450,"13",NA,"Methyl parathion","OPP","","298-00-0","","","","","","925","< 10","0.49","0.25","15000","18000","—","—","0.25","8","",NA,"--","--","","","156","1560","853.125"
451,"",99,"Methyl-4,6-dinitrophenol 2","Table 40, 20","","534521","n","9.2","28","--","--","","","","","","","—","—","9.2","1","",NA,"--","--","","","53.33333333","533.3333333","291.6666667"
452,"",100,"Methylene Chloride","Table 40, 20","","75092","y","4.3","59","--","--","","","","","","","","","4.3","1","",NA,"--","--","","","40","400","218.75"
453,"",101,"Methylmercury (mg/kg)","Table 40, 20","","22967926","n","--","0.040 mg/kg","--","--","","","","","","","","","40","11","",NA,"","","330","3","","",""
454,"",NA,"Metiram","EPA HHBP","","9006-42-2","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
455,"0",NA,"Metolachlor","OPP","","51218-45-2","","","","","","1600","1000","550","1","8","21","","","1","8","",NA,"","","","","","",""
456,"8",NA,"Metolachlor ESA","OPP","","- -","","","","","","24000","—","> 54,000","—","> 99,450","> 95,100","—","—","24000","5","",NA,"","","","","","",""
457,"8",NA,"Metolachlor OA","OPP","","- -","","","","","","> 46,550","—","7700","—","57100","> 95,100","—","—","7700","7","",NA,"","","-","1750","","",""
458,"",NA,"Metrafenone","EPA HHBP","","220899-03-6","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
459,"0",NA,"Metribuzin","OPP","","21087-64-9","","","","","","21000","3000","2100","1290","8.7","130","","","8.7","9","",NA,"","","","","","",""
460,"0",NA,"Metsulfuron","OPP","","79510-48-8","","","","","","> 75,000","4500","> 75,000","—","31","0.36","—","—","0.36","10","",NA,"","","10","2","","",""
461,"",NA,"Mevinphos","EPA HHBP","","7786-34-7","","","","","","","","","","","","—","—","0","13","",NA,"","","33000","427","","",""
462,"",NA,"MGK 264","EPA HHBP","","113-48-4","","","","","","","","","","","","","","0","13","",NA,"--","","","","","",""
463,"",102,"Mirex","Table 40, 20","","2385855","","--","--","--","0.001","","","","","","","","","0.001","4","",NA,"","0.001","","","","",""
464,"10",NA,"Molinate","OPP","","2212-67-1","","","","","","105","390","170","340","220","3300","","","105","5","",NA,"","","1000","210","","",""
465,"",NA,"Monosodium acid methanearsonate (MMA)","EPA HHBP","","2163-80-6","","","","","","","","","","","","—","—","0","13","",NA,"","","1000","210","","",""
466,"",NA,"MSMA-calcium salt","EPA HHBP","","5902-95-4","","","","","","","","","","","","","","0","13","",NA,"","","19800","175","","",""
467,"0",NA,"Myclobutanil","OPP, EPA HHBP","","88671-89-0","","","","","","1200","980","5500","—","830","—","","","830","9","",NA,"","","100","14","","",""
468,"0",NA,"Naled","OPP, EPA HHBP","","300-76-5","","","","","","46","2.9","—","0.045","25","> 1,800","—","—","0.045","8","",NA,"","","-","840","","",""
469,"0",NA,"Napropamide","OPP, EPA HHBP","","15299-99-7","","","","","","3200","1100","7150","1100","3400","—","—","—","1100","6","",NA,"","","5000","1050","","",""
470,"",NA,"Napthalene Acetates","EPA HHBP","","86-86-2, 86-87-3, 15165-79-4, 25545-89-5, 2122-70-5, 61-31-4","","","","","","","","","","","","—","—","0","13","",NA,"","","","","8000","80000","43750"
471,"",103,"Nickel, Total recoverable","Table 40","","7440020","n","140","170","","","","","","","","","","","140","1","",NA,"","","","","","",""
472,"0",NA,"Niclosamide","OPP","","1420-04-8","","","","","","15","—","17","56","41","—","","","15","5","",NA,"","","-","8750","","",""
473,"",NA,"Nicosulfuron","EPA HHBP","","111991-09-4","","","","","","","","","","","","—","—","0","13","",NA,"","","-","210","","",""
474,"",NA,"Nitrapyrin","EPA HHBP","","1929-82-4","","","","","","","","","","","","","","0","13","",NA,"--","--","","","","",""
475,"",104,"Nitrates","Table 40, 20","","14797558","n","10000","--","--","--","","","","","","","","","10000","1","10000",NA,"","","","","","",""
476,"",NA,"Nitrite (as N)","Table 40, 20","","","","","","","","","","","","","","","","0","13","1000",NA,"--","--","","","200","2000","1093.75"
477,"",105,"Nitrobenzene","Table 40, 20","","98953","n","14","69","--","--","","","","","","","","","14","1","",NA,"--","--","","","0.009203866","0.092038656","0.05033364"
478,"",106,"Nitrosamines","Table 40, 20","","35576911","y","0.00079","0.046","--","--","","","","","","","","","0.00079","1","",NA,"--","--","","","0.073664825","0.73664825","0.402854512"
479,"",107,"Nitrosodibutylamine, N","Table 40, 20","","924163","y","0.005","0.022","--","--","","","","","","","","","0.005","1","",NA,"--","--","","","0.009203866","0.092038656","0.05033364"
480,"",108,"Nitrosodiethylamine, N","Table 40, 20","","55185","y","0.00079","0.046","--","--","","","","","","","","","0.00079","1","",NA,"--","--","","","0.007843137","0.078431373","0.042892157"
481,"",109,"Nitrosodimethylamine, N","Table 40, 20","","62759","y","0.00068","0.3","--","--","","","","","","","","","0.00068","1","",NA,"--","--","","","0.057142857","0.571428571","0.3125"
482,"",110,"Nitrosodi-n-propylamine, N","Table 40, 20","","621647","y","0.0046","0.051","--","--","","","","","","","","","0.0046","1","",NA,"--","--","","","81.63265306","816.3265306","446.4285714"
483,"",111,"Nitrosodiphenylamine, N","Table 40, 20","","86306","y","0.55","0.6","--","--","","","","","","","","","0.55","1","",NA,"--","--","","","0.187793427","1.877934272","1.026995305"
484,"",112,"Nitrosopyrrolidine, N","Table 40, 20","","930552","y","0.016","3.4","--","--","","","","","","","","","0.016","1","",NA,"","","3300","105","","",""
485,"8",NA,"Norflurazon","OPP, EPA HHBP","","27314-13-2","","","","","","4050","770","> 7,500","1000","9.7","58.2","","","9.7","9","",NA,"","","-","77","","",""
486,"",NA,"Novaluron","EPA HHBP","","116714-46-6","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
487,"0",NA,"OA (CGA-51202) S-Metolachlor degradate","OPP","","- -","","","","","","> 48,150","—","7700","—","57100","—","","","7700","7","",NA,"","","-","350","","",""
488,"0",NA,"Orthosulfamuron","OPP, EPA HHBP","","213464-77-8","","","","","","> 61,000","6100","> 48,650","6500","80","0.7","—","—","0.7","10","",NA,"","","8250","980","","",""
489,"8",NA,"Oryzalin","OPP, EPA HHBP","","19044-88-3","","","","","","1440","220","750","358","42","> 15.4","—","—","42","9","",NA,"","","","","","",""
490,"0",NA,"Oxadiazon","OPP","","19666-30-9","","","","","","440","0.88","1090","30","5.2","41","—","—","0.88","6","",NA,"","","","","","",""
491,"",NA,"Oxamyl","Table 40, 20, OPP","Oxamyl (Vydate)","","","","","","","2100","770","90","27","120","30000","—","—","27","8","200",NA,"","","","","","",""
492,"0",NA,"Oxanilic acid Alachlor degradate","OPP","","- -","","","","","","50000","—","47500","—","—","—","—","—","47500","7","",NA,"","","80","0.7","","",""
493,"8,9",NA,"Oxydemeton methyl","OPP, EPA HHBP","Oxydemeton-methyl","301-12-2","","","","","","365","5","95","46","> 100,000","—","—","—","5","6","",NA,"","","-","210","","",""
494,"0",NA,"Oxyfluorfen","OPP, EPA HHBP","","42874-03-3","","","","","","102","1.3","40","13","0.29","0.35","—","—","0.29","9","",NA,"","","","","","",""
495,"8",NA,"Oxypyrimidine Diazinon degradate","OPP","","4562-27-0","","","","","","> 50,500","—","> 51,000","—","> 109,000","—","—","—","0","13","",NA,"","","-","4","","",""
496,"",NA,"Oxytetracycline","EPA HHBP","","79-57-2","","","","","","","","","","","","—","—","0","13","",NA,"","","-","4","","",""
497,"",NA,"Oxytetracycline calcium","EPA HHBP","","7179-50-2","","","","","","","","","","","","","","0","13","",NA,"","","-","4","","",""
498,"",NA,"Oxytetracycline hydrochloride","OPP, EPA HHBP","Oxytetracycline (hydrochloride salt)","2058-46-0","","","","","","> 47,450","—","> 51,000","—","—","—","","","0","13","",NA,"","","","","","",""
499,"0",NA,"Paclobutrazol","OPP","","76738-62-0","","","","","","11800","—","8000","—","41500","—","—","—","8000","7","",NA,"","","","","","",""
500,"0",NA,"Paraquat (dication)","OPP","","1910-42-5","","","","","","6000","< 369","600","< 36.9","0.396","71","—","—","0.396","9","",NA,"--","--","","","","",""
501,"",113,"Parathion","Table 40, 20","","56382","","--","--","0.065","0.013","","","","","","","—","—","0.013","4","",NA,"","","-","700","","",""
502,"",NA,"PCNB, Pentachloronitrobenzene (Quintozene)","EPA HHBP","","82-68-8","","","","","","","","","","","","","","0","13","",NA,"","","5000","49","","",""
503,"0",NA,"Pebulate","OPP, EPA HHBP","","1114-71-2","","","","","","3150","—","3315","—","230","1800","","","230","9","",NA,"","","-","210","","",""
504,"0",NA,"Pendimethalin","OPP, EPA HHBP","","40487-42-1","","","","","","69","6.3","140","14.5","5.2","12.5","—","—","5.2","9","",NA,"","","-","1029","","",""
505,"",NA,"Penoxsulam","EPA HHBP","","219714-96-2","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","320","3200","1750"
506,"",114,"Pentachlorobenzene","Table 40, 20","","608935","n","0.15","0.15","--","--","","","","","","","","","0.15","1","",NA,"","--","","","3.333333333","33.33333333","18.22916667"
507,"",115,"Pentachlorophenol","Table 40, 20","","87865","y","0.15","0.3","pH dependent","pH dependent","","","","","","","","","0.15","1","1",NA,"13","7.9","2500","1750","","",""
508,"16",NA,"Permethrin","OPP, EPA HHBP","","52645-53-1","","","","","","0.395","0.0515","0.01","0.0014","68","—","","","0.0014","8","",NA,"","","-","1680","","",""
509,"",NA,"Phenmedipham","EPA HHBP","","13684-63-4","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","120000","1200000","656250"
510,"",116,"Phenol","Table 40, 20","","108952","n","9400","86000","--","--","","","","","","","","","9400","1","",NA,"","","6600","1400","","",""
511,"",NA,"PHMB","EPA HHBP","","32289-58-0","","","","","","","","","","","","","","0","13","",NA,"","","25","4","","",""
512,"8",NA,"Phorate","OPP, EPA HHBP","","298-02-2","","","","","","1.18","0.34","0.3","0.21","> 1,300","—","","","0.21","8","",NA,"","","356","42","","",""
513,"8",NA,"Phosmet","OPP, EPA HHBP","","732-11-6","","","","","","35","3.2","1","0.8","34","> 1,800","—","—","0.8","8","",NA,"--","","","","","",""
514,"",117,"Phosphorus Elemental","Table 40, 20","","7723140","","--","--","--","--","","","","","","","—","—","0","13","",NA,"","0.1","","","","",""
515,"",NA,"Picloram","Table 40, 20","","","","","","","","6500","550","34150","11800","4900","—","","","550","6","500",NA,"","","","","","",""
