"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode"
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0523","DIXIE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 184.0576km^2/Station Weight (km): 783.6822/IBI Score: 41.856/OE Taxa Loss: 0.902",17050202,NA,"",NA,NA,"44.439999999999998","-117.36",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","777.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0528","MILK CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 4.4036km^2/Station Weight (km): 36.3806/IBI Score: 55.343/OE Taxa Loss: 0.993",17070201,NA,"",NA,NA,"44.469999999999999","-120.13",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1463.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"69",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0529","BUCK CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 2.092km^2/Station Weight (km): 72.7612/IBI Score: 53.173/OE Taxa Loss: 1.068",17070202,NA,"",NA,NA,"44.840000000000003","-118.48999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1379.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0530","TRIB TO STRAWBERRY CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 1.2382km^2/Station Weight (km): 72.7612/IBI Score: 21.613/OE Taxa Loss: 0.791",17070201,NA,"",NA,NA,"44.329999999999998","-118.64",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1729.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0535","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 15422.5539km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"44.899999999999999","-120.45",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","397.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0538","FLAT CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 12.7634km^2/Station Weight (km): 36.3806/IBI Score: 22.368/OE Taxa Loss: 0.621",17070201,NA,"",NA,NA,"44.009999999999998","-119.47",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1571.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0541","HIDAWAY CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 28.3874km^2/Station Weight (km): 36.3806/IBI Score: 84.017/OE Taxa Loss: 1.154",17070202,NA,"",NA,NA,"45.090000000000003","-118.66",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1490.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"59",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0542","ENNIS CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 4.5653km^2/Station Weight (km): 72.7612/IBI Score: 15.447/OE Taxa Loss: 0.718",17070201,NA,"",NA,NA,"44.530000000000001","-119.03",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1186.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0547","ROWE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 41.0092km^2/Station Weight (km): 29.1045/IBI Score: 34.384/OE Taxa Loss: 0.841",17070204,NA,"",NA,NA,"44.82","-120.15000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","749.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"69",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0548","NF DEER CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 2.7314km^2/Station Weight (km): 36.3806/IBI Score: 11.472/OE Taxa Loss: 0.838",17070201,NA,"",NA,NA,"44.200000000000003","-119.28",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1621.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0551","FROG CREEK TRIB.","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 3.2376km^2/Station Weight (km): 72.7612/IBI Score: 45.361/OE Taxa Loss: 0.943",17070306,NA,"",NA,NA,"45.18","-121.64",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1051.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0554","INDIAN CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 21.3706km^2/Station Weight (km): 36.3806/IBI Score: 80.122/OE Taxa Loss: 1.345",17070203,NA,"",NA,NA,"44.829999999999998","-118.87",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1290.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0617","BAKEOVEN CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 230.1742km^2",17070306,NA,"",NA,NA,"45.140000000000001","-120.95999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","417.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0619","EAST FORK MEADOW BROOK CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 17.1483km^2",17070202,NA,"",NA,NA,"44.920000000000002","-118.89",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1284.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0559","CLEAR CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 37.0833km^2/Station Weight (km): 36.3806/IBI Score: 60.176/OE Taxa Loss: 1.219",17070203,NA,"",NA,NA,"44.530000000000001","-118.47",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1486.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0560","SUMMIT CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 49.3582km^2/Station Weight (km): 29.1045/IBI Score: 22.345/OE Taxa Loss: 0.971",17070203,NA,"",NA,NA,"44.579999999999998","-118.41",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1317.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0563","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 25152.7128km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"45.149999999999999","-121.09999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","275.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0605","BEAVER CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 11.8659km^2/Station Weight (km): 72.7612/IBI Score: 57.112/OE Taxa Loss: 1.141",17070306,NA,"",NA,NA,"45.090000000000003","-121.55",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","885.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0606","THIRTY-MILE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 129.45km^2/Station Weight (km): 18.1903/IBI Score: 75.05/OE Taxa Loss: 1.08",17070204,NA,"",NA,NA,"45.090000000000003","-120.09999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","827.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"21",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0607","NORTH FORK REYNOLDS CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 30.3723km^2/Station Weight (km): 36.3806/IBI Score: 52.037/OE Taxa Loss: 1.01",17070201,NA,"",NA,NA,"44.43","-118.51000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1415.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0608","LOWER CLEAR CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 46.512km^2/Station Weight (km): 36.3806/IBI Score: 32.492/OE Taxa Loss: 1.104",17070203,NA,"",NA,NA,"44.57","-118.48999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1279.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0613","TENMILE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 35.3899km^2/Station Weight (km): 24.2537/IBI Score: 74.262/OE Taxa Loss: 0.916",17070307,NA,"",NA,NA,"44.840000000000003","-121.0",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","700.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0620","LONG CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 16.2237km^2",17070203,NA,"",NA,NA,"44.609999999999999","-118.94",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1578.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0622","GRASSHOPPER CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 13.2382km^2/Station Weight (km): 36.3806/IBI Score: 61.176/OE Taxa Loss: 1.159",17070201,NA,"",NA,NA,"44.039999999999999","-119.25",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1514.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0623","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17334.5289km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.299999999999997","-120.53",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","240.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"55",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0625","CAMAS CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 160.1502km^2/Station Weight (km): 29.1045/IBI Score: 45.492/OE Taxa Loss: 1.025",17070202,NA,"",NA,NA,"45.170000000000002","-118.73",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1231.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"59",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0626","SPONGE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 7.6986km^2/Station Weight (km): 36.3806/IBI Score: 20.966/OE Taxa Loss: 0.823",17070202,NA,"",NA,NA,"44.850000000000001","-118.72",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1559.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0629","DESCHUTES RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 24538.1897km^2/Station Weight (km): 27.2854",17070306,NA,"",NA,NA,"44.859999999999999","-121.05",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","376.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"65",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0630","COTTONWOOD CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  4/WATERSHED AREA is 538.7617km^2/Station Weight (km): 48.5075/IBI Score: 55.124/OE Taxa Loss: 1.101",17070202,NA,"",NA,NA,"44.75","-119.41",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","761.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0959","PUDDING RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 1351.9641km^2",17090009,NA,"",NA,NA,"45.270000000000003","-122.73",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","22.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"5",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0632","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  6/WATERSHED AREA is 4145.4342km^2/Station Weight (km): 48.5075",17070201,NA,"",NA,NA,"44.469999999999999","-119.53",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","708.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"23",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW14","GSW-14","River/Stream","Rivermile 6.3",17090012,NA,"",NA,"","45.580100000000002","-122.75623059999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW15","GSW-15","River/Stream","Rivermile 6.4",17090012,NA,"",NA,"","45.5794207","-122.7560316",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW16","GSW-16","River/Stream","Rivermile 6.4",17090012,NA,"",NA,"","45.579479300000003","-122.75472120000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0657","TINCUP CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is .852km^2/Station Weight (km): 1175.5233/IBI Score: 83.95/OE Taxa Loss: 1.149",17090005,NA,"",NA,NA,"44.859999999999999","-122.27",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","756.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"47",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0659","CULP CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 10.4439km^2/Station Weight (km): 587.7617/IBI Score: 63.252/OE Taxa Loss: 0.954",17090002,NA,"",NA,NA,"43.689999999999998","-122.84",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","317.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0661","MCCLURE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is .5823km^2/Station Weight (km): 1175.5233/IBI Score: 66.318/OE Taxa Loss: 1.103",17100202,NA,"",NA,NA,"45.850000000000001","-123.61",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","197.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"7",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0662","HINTON CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 79.9168km^2/Station Weight (km): 293.8808/IBI Score: 27.734/OE Taxa Loss: 0.335",17070104,NA,"",NA,NA,"45.359999999999999","-119.44",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","720.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"49",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0665","AVERY CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 2.5705km^2/Station Weight (km): 1175.5233/IBI Score: 8.366/OE Taxa Loss: 0.67",17120006,NA,"",NA,NA,"42.560000000000002","-120.53",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1691.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"37",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0666","CHEHELEM CREEK TRIBUTARY","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 11.7149km^2/Station Weight (km): 587.7617/IBI Score: 9.558/OE Taxa Loss: 0.47",17090007,NA,"",NA,NA,"45.329999999999998","-123.05",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","62.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"71",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0667","DRY CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 4.2784km^2/Station Weight (km): 1175.5233/IBI Score: 37.474/OE Taxa Loss: 1.121",17060102,NA,"",NA,NA,"45.109999999999999","-116.84999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1481.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"63",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0669","COAST FORK WILLAMETTE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  0/WATERSHED AREA is 1490.5186km^2/Station Weight (km): 783.6822",17090002,NA,"",NA,NA,"43.939999999999998","-122.98",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","155.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0670","UMPQUA RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 10455.3247km^2/Station Weight (km): 783.6822",17100303,NA,"",NA,NA,"43.649999999999999","-123.72",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","9.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"19",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0671","ROGUE RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 10097.4333km^2/Station Weight (km): 440.8212",17100310,NA,"",NA,NA,"42.649999999999999","-124.0",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","73.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"15",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0677","THREE CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  0/WATERSHED AREA is 21.6021km^2/Station Weight (km): 48.5075/IBI Score: 77.355/OE Taxa Loss: 1.229",17070301,NA,"",NA,NA,"44.130000000000003","-121.59",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1687.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"17",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0678","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17830.9668km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.420000000000002","-120.5",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","178.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"21",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW18","GSW-18","River/Stream","Rivermile 6.5",17090012,NA,"",NA,"","45.579169700000001","-122.75372040000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW19","GSW-19","River/Stream","Rivermile 6.7",17090012,NA,"",NA,"","45.577681300000002","-122.7502856",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCGSG07GSW20","GSW-20","River/Stream","Rivermile 6.7",17090012,NA,"",NA,"","45.577475399999997","-122.7497305",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0685","ROCK CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 62.6297km^2/Station Weight (km): 29.1045/IBI Score: 12.043/OE Taxa Loss: 0.642",17070204,NA,"",NA,NA,"45.090000000000003","-119.59999999999999",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1058.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"49",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0689","JOHN DAY RIVER","River/Stream","FLOW is BOATABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  5/WATERSHED AREA is 17537.0169km^2/Station Weight (km): 27.2854",17070204,NA,"",NA,NA,"45.369999999999997","-120.51000000000001",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","219.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"21",NA,NA,NA,NA,NA,NA,NA,NA
"NARS","EPA National Aquatic Resource Survey Data","NARS-WORP99-0691","RUSH CREEK","River/Stream","FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 17.4059km^2/Station Weight (km): 36.3806/IBI Score: 64.724/OE Taxa Loss: 1.168",17070202,NA,"",NA,NA,"45.020000000000003","-119.14",NA,"","","Interpolation - Digital Map Source (TIGER)","NAD27","1036.0","m              ",NA,"","Photogrammetric","NAVD88      ","US",41,"59",NA,NA,NA,NA,NA,NA,NA,NA
